job,years,education,salary,company,scale,job_url
合肥市聘纯大学生团队销售储备干部,无经验,大专,6000,深圳市乐有家房产交易有限公司,10000人以上,http://jobs.zhaopin.com/298754318287309.htm
大学应届生求职（马鞍山）,不限,不限,7500,合肥韦博英语培训中心,500-999人,http://jobs.zhaopin.com/174937129250481.htm
安徽马鞍山双创大学校长,3-5年,本科,11500,北京华普亿方教育科技股份有限公司,100-499人,http://jobs.zhaopin.com/CC135432614J00041249713.htm
客服专员,不限,本科,3000,马鞍山伟星房地产开发有限公司,100-499人,http://jobs.zhaopin.com/CZ567599020J00089126307.htm
国际贸易业务,1-3年,大专,12500,安徽御流包装机械有限公司,20-99人,http://jobs.zhaopin.com/CZ268156280J00115441605.htm
电商设计（美工）,3-5年,大专,6000,顺丰速运有限公司,1000-9999人,http://jobs.zhaopin.com/131486150298805.htm
服务工程师（安徽）(002713),1-3年,本科,5000,广联达科技股份有限公司,1000-9999人,http://jobs.zhaopin.com/224763818259500.htm
合肥埃摩森高端猎头顾问/高薪+双休,不限,本科,7000,如舜投资(上海)有限公司,1000-9999人,http://jobs.zhaopin.com/620430083251443.htm
物流专员,不限,大专,3250,德邦物流股份有限公司,10000人以上,http://jobs.zhaopin.com/156976022264220.htm
物流专员（马鞍山市）,不限,大专,3750,德邦物流股份有限公司,10000人以上,http://jobs.zhaopin.com/156976022270084.htm
水电主管/专员-马鞍山城市公司,不限,不限,0,碧桂园控股,10000人以上,http://jobs.zhaopin.com/305493616281731.htm
2019届实习生招聘,不限,本科,6000,安徽网新科技有限公司,1000-9999人,http://jobs.zhaopin.com/CC200842229J00125897707.htm
物流专员（黄山歙县）,不限,不限,3400,德邦物流股份有限公司,10000人以上,http://jobs.zhaopin.com/156976022274102.htm
物流专员/助理,不限,大专,3750,德邦物流股份有限公司,10000人以上,http://jobs.zhaopin.com/156976022270484.htm
成本主管/专员-马鞍山城市公司,不限,不限,0,碧桂园控股,10000人以上,http://jobs.zhaopin.com/305493616281737.htm
物流专员（马鞍山市博望区）,不限,大专,3750,德邦物流股份有限公司,10000人以上,http://jobs.zhaopin.com/156976022269674.htm
出纳/会计（江宁区谷里镇）,不限,大专,5000,德邦物流股份有限公司,10000人以上,http://jobs.zhaopin.com/156976022277151.htm
物流专员/储备干部（江宁将军大道）,不限,大专,3750,德邦物流股份有限公司,10000人以上,http://jobs.zhaopin.com/156976022280756.htm
实习生（马鞍山）,不限,大专,3000,德邦物流股份有限公司,10000人以上,http://jobs.zhaopin.com/156976022270605.htm
分公司技术支持工程师,1-3年,本科,7000,杭州海康威视数字技术股份有限公司,10000人以上,http://jobs.zhaopin.com/CC120975588J00110548207.htm
储备干部（滁州定远县）,不限,大专,3000,德邦物流股份有限公司,10000人以上,http://jobs.zhaopin.com/156976022268968.htm
马鞍山当涂诚聘物流专员,不限,大专,3000,德邦物流股份有限公司,10000人以上,http://jobs.zhaopin.com/156976022266027.htm
储备干部（马鞍山博望）,不限,不限,3150,德邦物流股份有限公司,10000人以上,http://jobs.zhaopin.com/156976022265937.htm
物流专员（马鞍山当涂县）,不限,大专,3000,德邦物流股份有限公司,10000人以上,http://jobs.zhaopin.com/156976022273260.htm
